serialNumber,status,state,internalTemp,glucoseLevel,lactateLevel,mediaLevel,phLevel,disolvedOxygen,cellsPerML,batchNumber,hoursFromStart
1000,normal,on,37.1,7.97,0.015,0.0,7.1985,0.19925,450000.0,1,12
1000,normal,on,37.2,7.928,0.036000000000000004,0.0,7.1949000000000005,0.19820000000000002,630000.0,1,24
1000,normal,on,37.300000000000004,7.8692,0.0654,0.0,7.18836,0.19673000000000002,882000.0,1,36
1000,normal,on,37.400000000000006,7.78688,0.10655999999999999,0.0,7.177704,0.194672,1234800.0,1,48
1000,normal,on,37.50000000000001,7.671632,0.164184,0.0,7.1612856,0.1917908,1728720.0,1,60
1000,normal,on,37.60000000000001,7.5102848,0.2448576,0.0,7.13679984,0.18775712,2420208.0,1,72
1000,normal,on,37.70000000000001,7.2843987199999995,0.35780064,0.0,7.101019776,0.182109968,3388291.2,1,84
1000,normal,on,37.80000000000001,6.968158207999999,0.515920896,0.0,7.0494276864000005,0.1742039552,4743607.680000001,1,96
1000,normal,on,37.90000000000001,6.541233516799999,0.7293832416,0.0,6.976489362240001,0.16353083792,6403870.368000001,1,108
1000,normal,on,38.000000000000014,6.039597004639999,0.98020149768,0.0,6.878469212472001,0.150989925116,7524547.682400001,1,120
1000,normal,on,38.100000000000016,5.475255928459999,1.2623720357700001,0.0,6.7522320088950005,0.1368813982115,8465116.142700002,1,132
1000,normal,on,38.20000000000002,4.868589271566499,1.5657053642167502,0.0,6.595661472473325,0.12171473178916249,9099999.853402501,1,144
1000,normal,on,38.30000000000002,4.216422615405986,1.8917886922970064,0.0,6.406482603243624,0.10541056538514967,9782499.842407688,1,156
1000,normal,on,38.40000000000002,3.5805601256494866,2.2097199371752563,0.0,6.185510609526099,0.08951400314123718,9537937.346347496,1,168
1000,normal,on,37.0,8.0,0.0,0.0,7.2,0.2,300000.0,2,0
1000,normal,on,37.1,7.97,0.015,0.0,7.1955,0.19925,450000.0,2,12
1000,normal,on,37.2,7.928,0.036000000000000004,0.0,7.1919,0.19820000000000002,630000.0,2,24
1000,normal,on,37.300000000000004,7.8692,0.0654,0.0,7.18536,0.19673000000000002,882000.0,2,36
1000,normal,on,37.400000000000006,7.78688,0.10655999999999999,0.0,7.174704,0.190556,1234800.0,2,48
1000,normal,on,37.50000000000001,7.671632,0.164184,0.0,7.1582856,0.1819124,1728720.0,2,60
1000,normal,on,37.60000000000001,7.5102848,0.2448576,0.0,7.08482832,0.17787872,2420208.0,2,72
1000,normal,on,37.70000000000001,7.29246608,0.35376696,0.0,7.049451624,0.161542316,3267280.8,2,84
1000,normal,on,37.80000000000001,6.998410807999999,0.500794596,0.0,6.9993721643999995,0.1541909342,4410829.08,2,96
1000,normal,on,37.90000000000001,6.667598626999999,0.6662006865,0.0,6.93275209575,0.145920629675,4962182.715,2,108
1000,normal,on,38.000000000000014,6.295434923375,0.8522825383125,0.0,6.677067334256249,0.136616537084375,5582455.554375,2,120
1000,normal,on,38.100000000000016,5.895358941978125,1.0523205290109376,0.0,6.571835281355155,0.10661083847960937,6001139.7209531255,2,132
1000,normal,on,38.20000000000002,5.485281061046328,1.2573594694768362,0.0,6.446099334407472,0.0758549974097246,6151168.213976954,2,144
1000,normal,on,38.30000000000002,5.085455127137825,1.4572724364310872,0.0,6.300372090764363,0.06585934906201205,5997389.00862753,2,156
1000,normal,on,38.40000000000002,4.695624841577036,1.652187579211482,0.0,6.135153332843215,0.05611359192299231,5847454.283411842,2,168
1000,normal,on,37.0,8.0,0.0,0.0,7.2,0.2,300000.0,3,0
1000,normal,on,37.1,7.97,0.015,0.0,7.1985,0.19775,450000.0,3,12
1000,normal,on,37.2,7.928,0.036000000000000004,0.0,7.1877,0.1967,630000.0,3,24
1000,normal,on,37.300000000000004,7.8692,0.0654,0.0,7.18116,0.19229000000000002,882000.0,3,36
1000,normal,on,37.400000000000006,7.78688,0.10655999999999999,0.0,7.170504,0.186116,1234800.0,3,48
1000,normal,on,37.50000000000001,7.671632,0.164184,0.0,7.1540856,0.1832348,1728720.0,3,60
1000,normal,on,37.60000000000001,7.5102848,0.2448576,0.0,7.12959984,0.17920112,2420208.0,3,72
1000,normal,on,37.70000000000001,7.29246608,0.35376696,0.0,7.0234697520000005,0.17375565199999998,3267280.8,3,84
1000,normal,on,37.80000000000001,6.998410807999999,0.500794596,0.0,6.9733902924,0.15170150659999998,4410829.08,3,96
